name,datetime (utc timezone),fan_count
bnk48official.jib,2018-05-31 12:00:00,47492
bnk48official.ratah,2018-05-31 12:00:00,43208
bnk48official.kate,2018-05-31 12:00:00,40098
bnk48official.june,2018-05-31 12:00:00,35871
bnk48official.bamboo,2018-05-31 12:00:00,25075
bnk48official.cake,2018-05-31 12:00:00,20710
bnk48official.panda,2018-05-31 12:00:00,19578
bnk48official.wee,2018-05-31 12:00:00,18862
bnk48official.phukkhom,2018-05-31 12:00:00,15887
bnk48official.kheng,2018-05-31 12:00:00,15428
bnk48official.new,2018-05-31 12:00:00,14878
bnk48official.niky,2018-05-31 12:00:00,13795
bnk48official.natherine,2018-05-31 12:00:00,13648
pakwan.bnk48official,2018-05-31 12:00:00,13638
bnk48official.stang,2018-05-31 12:00:00,13562
bnk48official.oom,2018-05-31 12:00:00,12972
bnk48official.aom,2018-05-31 12:00:00,12815
bnk48official.view,2018-05-31 12:00:00,12793
bnk48official.faii,2018-05-31 12:00:00,12690
bnk48official.minmin,2018-05-31 12:00:00,11591
bnk48official.maira,2018-05-31 12:00:00,10299
bnk48official.deenee,2018-05-31 12:00:00,10199
bnk48official.gygee,2018-05-31 12:00:00,9724
bnk48official.myyu,2018-05-31 12:00:00,9304
bnk48official.khamin,2018-05-31 12:00:00,9273
bnk48official.nine,2018-05-31 12:00:00,7226
bnk48official.fifa,2018-05-31 12:00:00,5572
bnk48official.pun,2018-05-31 11:00:00,455662
bnk48official.cherprang,2018-05-31 11:00:00,415386
bnk48official.orn,2018-05-31 11:00:00,266677
bnk48official.noey,2018-05-31 11:00:00,213496
bnk48official.jennis,2018-05-31 11:00:00,209575
bnk48official.music,2018-05-31 11:00:00,204525
bnk48official.kaimook,2018-05-31 11:00:00,202257
bnk48official.mobile,2018-05-31 11:00:00,201942
bnk48official.kaew,2018-05-31 11:00:00,165919
bnk48official.jan,2018-05-31 11:00:00,134506
bnk48official.satchan,2018-05-31 11:00:00,129304
bnk48official.tarwaan,2018-05-31 11:00:00,126911
bnk48official.namneung,2018-05-31 11:00:00,124532
bnk48official.pupe,2018-05-31 11:00:00,117054
bnk48official.can,2018-05-31 11:00:00,105839
bnk48official.namsai,2018-05-31 11:00:00,98359
bnk48official.miori,2018-05-31 11:00:00,85377
bnk48official.mewnich,2018-05-31 11:00:00,84245
bnk48official.jane,2018-05-31 11:00:00,76816
bnk48official.korn,2018-05-31 11:00:00,74627
bnk48official.mind,2018-05-31 11:00:00,71161
bnk48official.maysa,2018-05-31 11:00:00,69590
bnk48official.nink,2018-05-31 11:00:00,63068
bnk48official.jaa,2018-05-31 11:00:00,59573
bnk48official.piam,2018-05-31 11:00:00,58865
bnk48official.izutarina,2018-05-31 11:00:00,54400
bnk48official.fond,2018-05-31 11:00:00,47479
bnk48official.jib,2018-05-31 11:00:00,47477
bnk48official.ratah,2018-05-31 11:00:00,43194
bnk48official.kate,2018-05-31 11:00:00,40095
bnk48official.june,2018-05-31 11:00:00,35858
bnk48official.bamboo,2018-05-31 11:00:00,25053
bnk48official.cake,2018-05-31 11:00:00,20696
bnk48official.panda,2018-05-31 11:00:00,19538
bnk48official.wee,2018-05-31 11:00:00,18852
bnk48official.phukkhom,2018-05-31 11:00:00,15878
bnk48official.kheng,2018-05-31 11:00:00,15414
bnk48official.new,2018-05-31 11:00:00,14867
bnk48official.niky,2018-05-31 11:00:00,13787
bnk48official.natherine,2018-05-31 11:00:00,13638
pakwan.bnk48official,2018-05-31 11:00:00,13629
bnk48official.stang,2018-05-31 11:00:00,13380
bnk48official.oom,2018-05-31 11:00:00,12946
bnk48official.aom,2018-05-31 11:00:00,12806
bnk48official.view,2018-05-31 11:00:00,12779
bnk48official.faii,2018-05-31 11:00:00,12684
bnk48official.minmin,2018-05-31 11:00:00,11567
bnk48official.maira,2018-05-31 11:00:00,10288
bnk48official.deenee,2018-05-31 11:00:00,10186
bnk48official.gygee,2018-05-31 11:00:00,9713
bnk48official.myyu,2018-05-31 11:00:00,9295
bnk48official.khamin,2018-05-31 11:00:00,9267
bnk48official.nine,2018-05-31 11:00:00,7211
bnk48official.fifa,2018-05-31 11:00:00,5559
bnk48official.pun,2018-05-31 10:00:00,455615
bnk48official.cherprang,2018-05-31 10:00:00,415340
bnk48official.orn,2018-05-31 10:00:00,266642
bnk48official.noey,2018-05-31 10:00:00,213471
bnk48official.jennis,2018-05-31 10:00:00,209525
bnk48official.music,2018-05-31 10:00:00,204499
bnk48official.kaimook,2018-05-31 10:00:00,202230
bnk48official.mobile,2018-05-31 10:00:00,201889
bnk48official.kaew,2018-05-31 10:00:00,165889
bnk48official.jan,2018-05-31 10:00:00,134498
bnk48official.satchan,2018-05-31 10:00:00,129298
bnk48official.tarwaan,2018-05-31 10:00:00,126894
bnk48official.namneung,2018-05-31 10:00:00,124517
bnk48official.pupe,2018-05-31 10:00:00,117032
bnk48official.can,2018-05-31 10:00:00,105829
bnk48official.namsai,2018-05-31 10:00:00,98343
bnk48official.miori,2018-05-31 10:00:00,85367
bnk48official.mewnich,2018-05-31 10:00:00,84209
bnk48official.jane,2018-05-31 10:00:00,76800
bnk48official.korn,2018-05-31 10:00:00,74617
bnk48official.mind,2018-05-31 10:00:00,71145
bnk48official.maysa,2018-05-31 10:00:00,69583
bnk48official.nink,2018-05-31 10:00:00,63063
bnk48official.jaa,2018-05-31 10:00:00,59565
bnk48official.piam,2018-05-31 10:00:00,58860
bnk48official.izutarina,2018-05-31 10:00:00,54395
bnk48official.jib,2018-05-31 10:00:00,47470
bnk48official.fond,2018-05-31 10:00:00,47462
bnk48official.ratah,2018-05-31 10:00:00,43180
bnk48official.kate,2018-05-31 10:00:00,40092
bnk48official.june,2018-05-31 10:00:00,35841
bnk48official.bamboo,2018-05-31 10:00:00,25033
bnk48official.cake,2018-05-31 10:00:00,20683
bnk48official.panda,2018-05-31 10:00:00,19520
bnk48official.wee,2018-05-31 10:00:00,18842
bnk48official.phukkhom,2018-05-31 10:00:00,15870
bnk48official.kheng,2018-05-31 10:00:00,15402
bnk48official.new,2018-05-31 10:00:00,14855
bnk48official.niky,2018-05-31 10:00:00,13777
bnk48official.natherine,2018-05-31 10:00:00,13633
pakwan.bnk48official,2018-05-31 10:00:00,13618
bnk48official.stang,2018-05-31 10:00:00,13223
bnk48official.oom,2018-05-31 10:00:00,12926
bnk48official.aom,2018-05-31 10:00:00,12794
bnk48official.view,2018-05-31 10:00:00,12770
bnk48official.faii,2018-05-31 10:00:00,12679
bnk48official.minmin,2018-05-31 10:00:00,11540
bnk48official.maira,2018-05-31 10:00:00,10280
bnk48official.deenee,2018-05-31 10:00:00,10175
bnk48official.gygee,2018-05-31 10:00:00,9704
bnk48official.myyu,2018-05-31 10:00:00,9286
bnk48official.khamin,2018-05-31 10:00:00,9261
bnk48official.nine,2018-05-31 10:00:00,7209
bnk48official.fifa,2018-05-31 10:00:00,5552
bnk48official.pun,2018-05-31 09:00:00,455580
bnk48official.cherprang,2018-05-31 09:00:00,415307
bnk48official.orn,2018-05-31 09:00:00,266620
bnk48official.noey,2018-05-31 09:00:00,213455
bnk48official.jennis,2018-05-31 09:00:00,209501
bnk48official.music,2018-05-31 09:00:00,204471
bnk48official.kaimook,2018-05-31 09:00:00,202214
bnk48official.mobile,2018-05-31 09:00:00,201871
bnk48official.kaew,2018-05-31 09:00:00,165866
bnk48official.jan,2018-05-31 09:00:00,134493
